uri,om_funcionamiento,om_proteccion,om_tipoLuz,om_materialS,geo_long,om_potencia,om_tipoLampara,geo_lat,om_altura,om_tipoSoporte,om_circuitos,om_materialL
http://opendata.caceres.es/recurso/energia/farolas/Farola/11202,S,F,ER,F,-6.385892203158434,125,VMCC,39.467131018017376,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11203,S,F,ER,F,-6.385984491247339,125,VMCC,39.467150054794935,6,C,4,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11204,S,F,AC,F,-6.382431639808691,150,VSAP,39.46797826649531,7,Br,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11205,S,F,AC,F,-6.382135426638272,150,VSAP,39.46885850234941,7,Br,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11206,S,F,AC,F,-6.382031185225616,150,VSAP,39.46839632386857,7,Br,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11207,S,F,E,F,-6.38907139750726,125,VMCC,39.46937734430144,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11208,S,F,E,F,-6.389035976445686,125,VMCC,39.469414239580466,5,C,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11209,S,F,AC,F,-6.390114890869985,150,VSAP,39.468942611366316,10,Ba,3,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11210,S,F,E,F,-6.388099793229162,125,VMCC,39.468891466393075,4,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11211,S,F,E,F,-6.388086485261059,125,VMCC,39.46885724460005,4,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11212,S,F,E,F,-6.388143522545213,125,VMCC,39.46889244920759,4,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11213,S,F,E,F,-6.388012684915926,125,VMCC,39.46901011950491,4,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11214,S,F,E,F,-6.388046555240593,125,VMCC,39.469014650054675,4,C,1,P
http://opendata.caceres.es/recurso/energia/farolas/Farola/11215,S,F,E,F,-6.387978108926793,125,VMCC,39.46902441862453,4,C,1,P
